source,magnitude
USGS,4.6
USGS,4.5
USGS,4.6
USGS,4.7
USGS,4.8
USGS,4.3
USGS,5.3
USGS,4.6
USGS,4.7
USGS,5.1
USGS,4.1
USGS,4.7
USGS,4.9
USGS,4.8
USGS,5.9
USGS,4.5
USGS,4.5
USGS,4.2
USGS,4.5
USGS,4.5
USGS,4.8
USGS,4.6
USGS,4.5
USGS,4.5
USGS,4.8
USGS,4.6
USGS,4.6
USGS,4.6
USGS,4.6
USGS,4.5
USGS,4.5
USGS,4.4
USGS,4.6
USGS,4.8
USGS,4.1
USGS,4.6
USGS,4.1
USGS,4.5
USGS,4.9
USGS,4.9
USGS,4.6
USGS,4.4
USGS,4.0
USGS,4.4
USGS,4.3
USGS,4.2
USGS,4.4
GEOFON,5.2
GEOFON,4.5
GEOFON,4.6
GEOFON,4.8
GEOFON,4.7
GEOFON,4.8
GEOFON,4.8
GEOFON,5.3
GEOFON,4.8
GEOFON,5.1
GEOFON,4.5
GEOFON,4.7
GEOFON,5.0
GEOFON,4.9
GEOFON,4.7
GEOFON,4.8
GEOFON,4.8
GEOFON,4.6
GEOFON,4.7
GEOFON,4.8
GEOFON,4.2
GEOFON,4.8
GEOFON,4.9
GEOFON,4.8
GEOFON,5.0
GEOFON,4.6
GEOFON,4.8
EMSC,3.4
EMSC,4.1
EMSC,4.6
EMSC,3.3
EMSC,4.1
EMSC,4.0
EMSC,4.5
EMSC,3.2
EMSC,3.5
EMSC,4.6
EMSC,4.2
EMSC,3.4
EMSC,3.0
EMSC,3.0
EMSC,4.7
EMSC,3.6
EMSC,3.6
EMSC,4.3
EMSC,3.6
EMSC,4.8
EMSC,4.3
EMSC,3.6
EMSC,4.0
EMSC,3.3
EMSC,3.0
EMSC,3.0
EMSC,5.3
EMSC,3.9
EMSC,3.0
EMSC,4.6
EMSC,4.7
EMSC,5.1
EMSC,4.1
EMSC,4.7
EMSC,4.9
EMSC,4.8
EMSC,3.8
EMSC,3.2
EMSC,4.0
EMSC,3.2
EMSC,4.2
EMSC,3.4
EMSC,6.0
EMSC,4.5
EMSC,3.2
EMSC,3.2
EMSC,4.4
EMSC,4.5
EMSC,4.3
EMSC,3.0
EMSC,3.5
EMSC,3.0
EMSC,4.2
EMSC,4.5
EMSC,4.5
EMSC,4.8
EMSC,4.6
EMSC,4.0
EMSC,3.6
EMSC,4.0
EMSC,4.5
EMSC,3.4
EMSC,3.2
EMSC,3.7
EMSC,3.0
EMSC,4.5
EMSC,4.8
EMSC,4.6
EMSC,3.0
EMSC,3.9
EMSC,4.6
EMSC,4.6
EMSC,4.6
EMSC,3.5
EMSC,4.6
EMSC,3.8
EMSC,4.5
EMSC,3.8
EMSC,3.0
EMSC,4.0
EMSC,3.8
EMSC,4.2
EMSC,3.3
EMSC,3.4
EMSC,4.6
EMSC,4.9
EMSC,3.0
EMSC,4.1
EMSC,3.3
EMSC,3.2
EMSC,4.6
EMSC,4.1
EMSC,3.2
EMSC,3.0
EMSC,3.1
EMSC,3.0
EMSC,3.4
EMSC,3.5
EMSC,3.6
EMSC,4.5
EMSC,3.1
EMSC,3.3
EMSC,4.1
EMSC,3.3
EMSC,3.5
EMSC,3.5
EMSC,3.0
EMSC,3.0
EMSC,3.3
EMSC,3.5
EMSC,3.0
EMSC,3.4
EMSC,4.9
EMSC,3.3
EMSC,4.9
EMSC,4.6
EMSC,3.0
EMSC,3.2
EMSC,4.0
EMSC,3.6
EMSC,4.0
EMSC,4.4
EMSC,3.9
EMSC,4.4
EMSC,4.0
EMSC,4.4
EMSC,3.0
DATASET,5.1
DATASET,4.8
DATASET,4.9
DATASET,5.5
DATASET,4.6
DATASET,5.2
DATASET,4.9
DATASET,4.8
DATASET,5.0
DATASET,4.7
DATASET,5.3
DATASET,5.0
DATASET,4.5
DATASET,5.0
DATASET,4.4
DATASET,4.9
DATASET,5.1
DATASET,4.8
DATASET,4.6
DATASET,4.2
DATASET,5.3
DATASET,4.7
DATASET,5.8
DATASET,4.1
DATASET,4.8
DATASET,4.0
DATASET,5.0
DATASET,4.3
DATASET,5.0
DATASET,4.6
DATASET,4.7
DATASET,4.8
